date,region,transport_type,users
2021-01-01,Zurich,Train,1004
2021-01-01,Zurich,Bus,1009
2021-01-01,Zurich,Tram,993
2021-01-01,Zurich,Boat,994
2021-01-01,Geneva,Train,1087
2021-01-01,Geneva,Bus,1029
2021-01-01,Geneva,Tram,1006
2021-01-01,Geneva,Boat,942
2021-01-01,Basel,Train,1027
2021-01-01,Basel,Bus,996
2021-01-01,Basel,Tram,956
2021-01-01,Basel,Boat,1002
2021-01-01,Bern,Train,977
2021-01-01,Bern,Bus,996
2021-01-01,Bern,Tram,1010
2021-01-01,Bern,Boat,1067
2021-01-01,Lausanne,Train,987
2021-01-01,Lausanne,Bus,1018
2021-01-01,Lausanne,Tram,1015
2021-01-01,Lausanne,Boat,971
2021-01-02,Zurich,Train,983
2021-01-02,Zurich,Bus,1006
2021-01-02,Zurich,Tram,971
2021-01-02,Zurich,Boat,1014
2021-01-02,Geneva,Train,997
2021-01-02,Geneva,Bus,964
2021-01-02,Geneva,Tram,1014
2021-01-02,Geneva,Boat,969
2021-01-02,Basel,Train,1033
2021-01-02,Basel,Bus,1035
2021-01-02,Basel,Tram,1023
2021-01-02,Basel,Boat,979
2021-01-02,Bern,Train,981
2021-01-02,Bern,Bus,983
2021-01-02,Bern,Tram,938
2021-01-02,Bern,Boat,1006
2021-01-02,Lausanne,Train,1002
2021-01-02,Lausanne,Bus,1007
2021-01-02,Lausanne,Tram,983
2021-01-02,Lausanne,Boat,959
2021-01-03,Zurich,Train,980
2021-01-03,Zurich,Bus,1008
2021-01-03,Zurich,Tram,1034
2021-01-03,Zurich,Boat,1016
2021-01-03,Geneva,Train,976
2021-01-03,Geneva,Bus,1008
2021-01-03,Geneva,Tram,995
2021-01-03,Geneva,Boat,1019
2021-01-03,Basel,Train,1032
2021-01-03,Basel,Bus,1043
2021-01-03,Basel,Tram,1043
2021-01-03,Basel,Boat,1021
2021-01-03,Bern,Train,1077
2021-01-03,Bern,Bus,993
2021-01-03,Bern,Tram,1015
2021-01-03,Bern,Boat,1011
2021-01-03,Lausanne,Train,960
2021-01-03,Lausanne,Bus,1006
2021-01-03,Lausanne,Tram,1007
2021-01-03,Lausanne,Boat,1014
2021-01-04,Zurich,Train,1047
2021-01-04,Zurich,Bus,994
2021-01-04,Zurich,Tram,1031
2021-01-04,Zurich,Boat,952
2021-01-04,Geneva,Train,962
2021-01-04,Geneva,Bus,965
2021-01-04,Geneva,Tram,958
2021-01-04,Geneva,Boat,1031
2021-01-04,Basel,Train,992
2021-01-04,Basel,Bus,1018
2021-01-04,Basel,Tram,1021
2021-01-04,Basel,Boat,1022
2021-01-04,Bern,Train,1002
2021-01-04,Bern,Bus,970
2021-01-04,Bern,Tram,1029
2021-01-04,Bern,Boat,986
2021-01-04,Lausanne,Train,1019
2021-01-04,Lausanne,Bus,965
2021-01-04,Lausanne,Tram,1007
2021-01-04,Lausanne,Boat,1061
2021-01-05,Zurich,Train,1003
2021-01-05,Zurich,Bus,1022
2021-01-05,Zurich,Tram,991
2021-01-05,Zurich,Boat,1023
2021-01-05,Geneva,Train,973
2021-01-05,Geneva,Bus,934
2021-01-05,Geneva,Tram,982
2021-01-05,Geneva,Boat,989
2021-01-05,Basel,Train,1017
2021-01-05,Basel,Bus,1003
2021-01-05,Basel,Tram,1015
2021-01-05,Basel,Boat,983
2021-01-05,Bern,Train,1008
2021-01-05,Bern,Bus,1012
2021-01-05,Bern,Tram,978
2021-01-05,Bern,Boat,1017
2021-01-05,Lausanne,Train,1069
2021-01-05,Lausanne,Bus,976
2021-01-05,Lausanne,Tram,1002
2021-01-05,Lausanne,Boat,971
2021-01-06,Zurich,Train,988
2021-01-06,Zurich,Bus,979
2021-01-06,Zurich,Tram,1040
2021-01-06,Zurich,Boat,1001
2021-01-06,Geneva,Train,1020
2021-01-06,Geneva,Bus,1006
2021-01-06,Geneva,Tram,962
2021-01-06,Geneva,Boat,987
2021-01-06,Basel,Train,1026
2021-01-06,Basel,Bus,1049
2021-01-06,Basel,Tram,1005
2021-01-06,Basel,Boat,1085
2021-01-06,Bern,Train,975
2021-01-06,Bern,Bus,1016
2021-01-06,Bern,Tram,979
2021-01-06,Bern,Boat,938
2021-01-06,Lausanne,Train,985
2021-01-06,Lausanne,Bus,1065
2021-01-06,Lausanne,Tram,1012
2021-01-06,Lausanne,Boat,980
2021-01-07,Zurich,Train,1011
2021-01-07,Zurich,Bus,986
2021-01-07,Zurich,Tram,1000
2021-01-07,Zurich,Boat,988
2021-01-07,Geneva,Train,1033
2021-01-07,Geneva,Bus,1001
2021-01-07,Geneva,Tram,951
2021-01-07,Geneva,Boat,1050
2021-01-07,Basel,Train,984
2021-01-07,Basel,Bus,992
2021-01-07,Basel,Tram,959
2021-01-07,Basel,Boat,1021
2021-01-07,Bern,Train,1026
2021-01-07,Bern,Bus,945
2021-01-07,Bern,Tram,1016
2021-01-07,Bern,Boat,993
2021-01-07,Lausanne,Train,1039
2021-01-07,Lausanne,Bus,978
2021-01-07,Lausanne,Tram,933
2021-01-07,Lausanne,Boat,977
2021-01-08,Zurich,Train,1017
2021-01-08,Zurich,Bus,979
2021-01-08,Zurich,Tram,967
2021-01-08,Zurich,Boat,934
2021-01-08,Geneva,Train,1027
2021-01-08,Geneva,Bus,977
2021-01-08,Geneva,Tram,1008
2021-01-08,Geneva,Boat,988
2021-01-08,Basel,Train,996
2021-01-08,Basel,Bus,1030
2021-01-08,Basel,Tram,1002
2021-01-08,Basel,Boat,1007
2021-01-08,Bern,Train,1013
2021-01-08,Bern,Bus,994
2021-01-08,Bern,Tram,1003
2021-01-08,Bern,Boat,979
2021-01-08,Lausanne,Train,990
2021-01-08,Lausanne,Bus,968
2021-01-08,Lausanne,Tram,1004
2021-01-08,Lausanne,Boat,1043
2021-01-09,Zurich,Train,1021
2021-01-09,Zurich,Bus,1049
2021-01-09,Zurich,Tram,1019
2021-01-09,Zurich,Boat,1025
2021-01-09,Geneva,Train,975
2021-01-09,Geneva,Bus,996
2021-01-09,Geneva,Tram,1039
2021-01-09,Geneva,Boat,1073
2021-01-09,Basel,Train,1032
2021-01-09,Basel,Bus,1012
2021-01-09,Basel,Tram,937
2021-01-09,Basel,Boat,977
2021-01-09,Bern,Train,987
2021-01-09,Bern,Bus,991
2021-01-09,Bern,Tram,952
2021-01-09,Bern,Boat,1041
2021-01-09,Lausanne,Train,984
2021-01-09,Lausanne,Bus,1010
2021-01-09,Lausanne,Tram,940
2021-01-09,Lausanne,Boat,972
2021-01-10,Zurich,Train,959
2021-01-10,Zurich,Bus,956
2021-01-10,Zurich,Tram,992
2021-01-10,Zurich,Boat,1013
2021-01-10,Geneva,Train,1028
2021-01-10,Geneva,Bus,975
2021-01-10,Geneva,Tram,975
2021-01-10,Geneva,Boat,1001
2021-01-10,Basel,Train,1005
2021-01-10,Basel,Bus,1019
2021-01-10,Basel,Tram,987
2021-01-10,Basel,Boat,1056
2021-01-10,Bern,Train,974
2021-01-10,Bern,Bus,976
2021-01-10,Bern,Tram,1072
2021-01-10,Bern,Boat,1018
2021-01-10,Lausanne,Train,1022
2021-01-10,Lausanne,Bus,978
2021-01-10,Lausanne,Tram,988
2021-01-10,Lausanne,Boat,974
2021-01-11,Zurich,Train,995
2021-01-11,Zurich,Bus,1036
2021-01-11,Zurich,Tram,1000
2021-01-11,Zurich,Boat,1012
2021-01-11,Geneva,Train,1064
2021-01-11,Geneva,Bus,942
2021-01-11,Geneva,Tram,963
2021-01-11,Geneva,Boat,959
2021-01-11,Basel,Train,989
2021-01-11,Basel,Bus,979
2021-01-11,Basel,Tram,1047
2021-01-11,Basel,Boat,1005
2021-01-11,Bern,Train,996
2021-01-11,Bern,Bus,976
2021-01-11,Bern,Tram,982
2021-01-11,Bern,Boat,1002
2021-01-11,Lausanne,Train,985
2021-01-11,Lausanne,Bus,1040
2021-01-11,Lausanne,Tram,976
2021-01-11,Lausanne,Boat,953
2021-01-12,Zurich,Train,1023
2021-01-12,Zurich,Bus,1011
2021-01-12,Zurich,Tram,970
2021-01-12,Zurich,Boat,1016
2021-01-12,Geneva,Train,1004
2021-01-12,Geneva,Bus,1003
2021-01-12,Geneva,Tram,949
2021-01-12,Geneva,Boat,1011
2021-01-12,Basel,Train,971
2021-01-12,Basel,Bus,1007
2021-01-12,Basel,Tram,1016
2021-01-12,Basel,Boat,1009
2021-01-12,Bern,Train,1086
2021-01-12,Bern,Bus,1018
2021-01-12,Bern,Tram,1001
2021-01-12,Bern,Boat,1029
2021-01-12,Lausanne,Train,995
2021-01-12,Lausanne,Bus,1018
2021-01-12,Lausanne,Tram,973
2021-01-12,Lausanne,Boat,1011
2021-01-13,Zurich,Train,1011
2021-01-13,Zurich,Bus,1000
2021-01-13,Zurich,Tram,1004
2021-01-13,Zurich,Boat,1054
2021-01-13,Geneva,Train,966
2021-01-13,Geneva,Bus,1073
2021-01-13,Geneva,Tram,964
2021-01-13,Geneva,Boat,995
2021-01-13,Basel,Train,964
2021-01-13,Basel,Bus,995
2021-01-13,Basel,Tram,1018
2021-01-13,Basel,Boat,917
2021-01-13,Bern,Train,1023
2021-01-13,Bern,Bus,1016
2021-01-13,Bern,Tram,987
2021-01-13,Bern,Boat,989
2021-01-13,Lausanne,Train,966
2021-01-13,Lausanne,Bus,1017
2021-01-13,Lausanne,Tram,1010
2021-01-13,Lausanne,Boat,979
2021-01-14,Zurich,Train,1001
2021-01-14,Zurich,Bus,996
2021-01-14,Zurich,Tram,1100
2021-01-14,Zurich,Boat,951
2021-01-14,Geneva,Train,1008
2021-01-14,Geneva,Bus,986
2021-01-14,Geneva,Tram,1013
2021-01-14,Geneva,Boat,1026
2021-01-14,Basel,Train,985
2021-01-14,Basel,Bus,937
2021-01-14,Basel,Tram,994
2021-01-14,Basel,Boat,956
2021-01-14,Bern,Train,1008
2021-01-14,Bern,Bus,989
2021-01-14,Bern,Tram,1017
2021-01-14,Bern,Boat,1039
2021-01-14,Lausanne,Train,1000
2021-01-14,Lausanne,Bus,975
2021-01-14,Lausanne,Tram,1039
2021-01-14,Lausanne,Boat,997
2021-01-15,Zurich,Train,996
2021-01-15,Zurich,Bus,993
2021-01-15,Zurich,Tram,956
2021-01-15,Zurich,Boat,991
2021-01-15,Geneva,Train,1016
2021-01-15,Geneva,Bus,1020
2021-01-15,Geneva,Tram,991
2021-01-15,Geneva,Boat,1010
2021-01-15,Basel,Train,1033
2021-01-15,Basel,Bus,1021
2021-01-15,Basel,Tram,955
2021-01-15,Basel,Boat,991
2021-01-15,Bern,Train,954
2021-01-15,Bern,Bus,1019
2021-01-15,Bern,Tram,1081
2021-01-15,Bern,Boat,1040
2021-01-15,Lausanne,Train,1003
2021-01-15,Lausanne,Bus,1002
2021-01-15,Lausanne,Tram,969
2021-01-15,Lausanne,Boat,1002
2021-01-16,Zurich,Train,988
2021-01-16,Zurich,Bus,946
2021-01-16,Zurich,Tram,972
2021-01-16,Zurich,Boat,977
2021-01-16,Geneva,Train,939
2021-01-16,Geneva,Bus,964
2021-01-16,Geneva,Tram,1027
2021-01-16,Geneva,Boat,963
2021-01-16,Basel,Train,994
2021-01-16,Basel,Bus,986
2021-01-16,Basel,Tram,990
2021-01-16,Basel,Boat,1025
2021-01-16,Bern,Train,1000
2021-01-16,Bern,Bus,988
2021-01-16,Bern,Tram,1000
2021-01-16,Bern,Boat,979
2021-01-16,Lausanne,Train,956
2021-01-16,Lausanne,Bus,1010
2021-01-16,Lausanne,Tram,1043
2021-01-16,Lausanne,Boat,981
2021-01-17,Zurich,Train,1059
2021-01-17,Zurich,Bus,978
2021-01-17,Zurich,Tram,988
2021-01-17,Zurich,Boat,976
2021-01-17,Geneva,Train,1039
2021-01-17,Geneva,Bus,995
2021-01-17,Geneva,Tram,1043
2021-01-17,Geneva,Boat,1016
2021-01-17,Basel,Train,972
2021-01-17,Basel,Bus,1055
2021-01-17,Basel,Tram,996
2021-01-17,Basel,Boat,1027
2021-01-17,Bern,Train,961
2021-01-17,Bern,Bus,1036
2021-01-17,Bern,Tram,953
2021-01-17,Bern,Boat,982
2021-01-17,Lausanne,Train,993
2021-01-17,Lausanne,Bus,1006
2021-01-17,Lausanne,Tram,1009
2021-01-17,Lausanne,Boat,990
2021-01-18,Zurich,Train,976
2021-01-18,Zurich,Bus,992
2021-01-18,Zurich,Tram,1031
2021-01-18,Zurich,Boat,1076
2021-01-18,Geneva,Train,1047
2021-01-18,Geneva,Bus,987
2021-01-18,Geneva,Tram,980
2021-01-18,Geneva,Boat,955
2021-01-18,Basel,Train,968
2021-01-18,Basel,Bus,1024
2021-01-18,Basel,Tram,999
2021-01-18,Basel,Boat,993
2021-01-18,Bern,Train,972
2021-01-18,Bern,Bus,1030
2021-01-18,Bern,Tram,1010
2021-01-18,Bern,Boat,1022
2021-01-18,Lausanne,Train,1032
2021-01-18,Lausanne,Bus,1053
2021-01-18,Lausanne,Tram,980
2021-01-18,Lausanne,Boat,993
2021-01-19,Zurich,Train,954
2021-01-19,Zurich,Bus,998
2021-01-19,Zurich,Tram,1022
2021-01-19,Zurich,Boat,988
2021-01-19,Geneva,Train,1045
2021-01-19,Geneva,Bus,1054
2021-01-19,Geneva,Tram,967
2021-01-19,Geneva,Boat,961
2021-01-19,Basel,Train,1062
2021-01-19,Basel,Bus,979
2021-01-19,Basel,Tram,1009
2021-01-19,Basel,Boat,962
2021-01-19,Bern,Train,1042
2021-01-19,Bern,Bus,1048
2021-01-19,Bern,Tram,1003
2021-01-19,Bern,Boat,983
2021-01-19,Lausanne,Train,994
2021-01-19,Lausanne,Bus,1053
2021-01-19,Lausanne,Tram,1022
2021-01-19,Lausanne,Boat,1007
2021-01-20,Zurich,Train,1029
2021-01-20,Zurich,Bus,1026
2021-01-20,Zurich,Tram,961
2021-01-20,Zurich,Boat,995
2021-01-20,Geneva,Train,995
2021-01-20,Geneva,Bus,1011
2021-01-20,Geneva,Tram,1040
2021-01-20,Geneva,Boat,991
2021-01-20,Basel,Train,1031
2021-01-20,Basel,Bus,971
2021-01-20,Basel,Tram,1042
2021-01-20,Basel,Boat,957
2021-01-20,Bern,Train,966
2021-01-20,Bern,Bus,1048
2021-01-20,Bern,Tram,1040
2021-01-20,Bern,Boat,988
2021-01-20,Lausanne,Train,1025
2021-01-20,Lausanne,Bus,1014
2021-01-20,Lausanne,Tram,999
2021-01-20,Lausanne,Boat,1005
2021-01-21,Zurich,Train,1021
2021-01-21,Zurich,Bus,1027
2021-01-21,Zurich,Tram,1049
2021-01-21,Zurich,Boat,984
2021-01-21,Geneva,Train,998
2021-01-21,Geneva,Bus,981
2021-01-21,Geneva,Tram,984
2021-01-21,Geneva,Boat,961
2021-01-21,Basel,Train,941
2021-01-21,Basel,Bus,990
2021-01-21,Basel,Tram,1021
2021-01-21,Basel,Boat,1022
2021-01-21,Bern,Train,964
2021-01-21,Bern,Bus,967
2021-01-21,Bern,Tram,998
2021-01-21,Bern,Boat,1038
2021-01-21,Lausanne,Train,972
2021-01-21,Lausanne,Bus,955
2021-01-21,Lausanne,Tram,983
2021-01-21,Lausanne,Boat,998
2021-01-22,Zurich,Train,941
2021-01-22,Zurich,Bus,1022
2021-01-22,Zurich,Tram,1064
2021-01-22,Zurich,Boat,1003
2021-01-22,Geneva,Train,982
2021-01-22,Geneva,Bus,1055
2021-01-22,Geneva,Tram,1021
2021-01-22,Geneva,Boat,1055
2021-01-22,Basel,Train,1042
2021-01-22,Basel,Bus,972
2021-01-22,Basel,Tram,973
2021-01-22,Basel,Boat,1023
2021-01-22,Bern,Train,1001
2021-01-22,Bern,Bus,973
2021-01-22,Bern,Tram,1008
2021-01-22,Bern,Boat,998
2021-01-22,Lausanne,Train,1002
2021-01-22,Lausanne,Bus,1007
2021-01-22,Lausanne,Tram,980
2021-01-22,Lausanne,Boat,999
2021-01-23,Zurich,Train,1008
2021-01-23,Zurich,Bus,974
2021-01-23,Zurich,Tram,1013
2021-01-23,Zurich,Boat,1027
2021-01-23,Geneva,Train,999
2021-01-23,Geneva,Bus,997
2021-01-23,Geneva,Tram,1021
2021-01-23,Geneva,Boat,976
2021-01-23,Basel,Train,958
2021-01-23,Basel,Bus,961
2021-01-23,Basel,Tram,1012
2021-01-23,Basel,Boat,1014
2021-01-23,Bern,Train,998
2021-01-23,Bern,Bus,978
2021-01-23,Bern,Tram,998
2021-01-23,Bern,Boat,1033
2021-01-23,Lausanne,Train,982
2021-01-23,Lausanne,Bus,1020
2021-01-23,Lausanne,Tram,1019
2021-01-23,Lausanne,Boat,1001
2021-01-24,Zurich,Train,1039
2021-01-24,Zurich,Bus,979
2021-01-24,Zurich,Tram,1018
2021-01-24,Zurich,Boat,1013
2021-01-24,Geneva,Train,991
2021-01-24,Geneva,Bus,1039
2021-01-24,Geneva,Tram,1052
2021-01-24,Geneva,Boat,987
2021-01-24,Basel,Train,1025
2021-01-24,Basel,Bus,952
2021-01-24,Basel,Tram,1010
2021-01-24,Basel,Boat,981
2021-01-24,Bern,Train,978
2021-01-24,Bern,Bus,1002
2021-01-24,Bern,Tram,997
2021-01-24,Bern,Boat,970
2021-01-24,Lausanne,Train,987
2021-01-24,Lausanne,Bus,995
2021-01-24,Lausanne,Tram,1002
2021-01-24,Lausanne,Boat,1050
2021-01-25,Zurich,Train,1005
2021-01-25,Zurich,Bus,1085
2021-01-25,Zurich,Tram,958
2021-01-25,Zurich,Boat,1077
2021-01-25,Geneva,Train,1013
2021-01-25,Geneva,Bus,1070
